nct_id,start_year,completion_year,phase,overall_status,primary_purpose
NCT00000278,1994.0,1999.0,Phase 2,Completed,Treatment
NCT00000279,1994.0,1999.0,Phase 2,Completed,Treatment
NCT00000280,1994.0,1999.0,Phase 1,Completed,Treatment
NCT00000282,1994.0,1999.0,Phase 2,Completed,Treatment
NCT00000284,1995.0,2001.0,Phase 2,Completed,Treatment
NCT00000285,1996.0,2001.0,Phase 1,Completed,Treatment
NCT00000286,1996.0,2001.0,Phase 2,Completed,Treatment
NCT00000288,1995.0,2002.0,Phase 2,Completed,Treatment
NCT00000289,1998.0,2001.0,Phase 2,Completed,Treatment
NCT00000290,1997.0,2001.0,Phase 1,Completed,Treatment
NCT00000291,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00000292,1996.0,2001.0,Phase 1,Completed,Treatment
NCT00000293,1999.0,2001.0,Phase 3,Completed,Treatment
NCT00000294,1998.0,2001.0,Phase 2,Completed,Treatment
NCT00000295,1999.0,2001.0,Phase 2,Completed,Treatment
NCT00000296,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00000297,1998.0,2001.0,Phase 2,Completed,Treatment
NCT00000301,1996.0,,Phase 2,Completed,Treatment
NCT00000303,1997.0,,Phase 2,Completed,Treatment
NCT00000304,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00000305,,,Phase 1,Terminated,Treatment
NCT00000306,1994.0,2001.0,Phase 2,Completed,Treatment
NCT00000307,2003.0,2007.0,Phase 2,Completed,Treatment
NCT00000308,1995.0,2000.0,Phase 2,Completed,Treatment
NCT00000309,1994.0,2000.0,Phase 2,Terminated,Treatment
NCT00000310,1996.0,1996.0,Phase 2,Terminated,Treatment
NCT00000311,1995.0,1999.0,Phase 3,Completed,Treatment
NCT00000312,,,Phase 1,Completed,Treatment
NCT00000313,,,Phase 1,Terminated,Treatment
NCT00000314,1994.0,1999.0,Phase 2,Completed,Treatment
NCT00000315,1996.0,2001.0,Phase 1,Completed,Treatment
NCT00000316,1996.0,2001.0,Phase 1,Completed,Treatment
NCT00000317,1996.0,1999.0,Phase 2,Completed,Treatment
NCT00000318,1994.0,2007.0,Phase 2,Completed,Treatment
NCT00000319,1996.0,2005.0,Phase 2,Completed,Treatment
NCT00000321,1996.0,2001.0,Phase 4,Completed,Treatment
NCT00000322,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00000324,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00000332,1998.0,2000.0,Phase 2,Completed,Treatment
NCT00000333,2001.0,2003.0,Phase 2,Completed,Treatment
NCT00000336,1995.0,1996.0,Phase 2,Completed,Treatment
NCT00000337,1994.0,,Phase 1,Completed,Treatment
NCT00000338,1996.0,,Phase 1,Unknown status,Treatment
NCT00000339,1996.0,,Phase 1,Unknown status,Treatment
NCT00000340,1996.0,,Phase 2,Withdrawn,Treatment
NCT00000342,1996.0,1997.0,Phase 2,Completed,Treatment
NCT00000346,,,Phase 4,Unknown status,Treatment
NCT00000347,1997.0,1998.0,Phase 2,Completed,Treatment
NCT00000348,,,Phase 1,Unknown status,Treatment
NCT00000349,,,Phase 1,Unknown status,Treatment
NCT00000352,1996.0,1998.0,Phase 2,Completed,Treatment
NCT00000353,1996.0,1997.0,Phase 2,Completed,Treatment
NCT00000354,1996.0,1997.0,Phase 1,Completed,Treatment
NCT00000355,1994.0,1996.0,Phase 1,Completed,Treatment
NCT00000356,1991.0,1992.0,Phase 2,Completed,Treatment
NCT00000357,1992.0,1993.0,Phase 2,Completed,Treatment
NCT00000358,,,Phase 1,Completed,Treatment
NCT00000361,1998.0,2002.0,Phase 3,Terminated,Treatment
NCT00000367,1998.0,2003.0,Not Applicable,Completed,Prevention
NCT00000368,1999.0,2004.0,Phase 3,Completed,Treatment
NCT00000369,1997.0,2002.0,Phase 3,Completed,Treatment
NCT00000371,1996.0,2002.0,Phase 3,Completed,Treatment
NCT00000372,1998.0,2005.0,Phase 3,Withdrawn,Treatment
NCT00000373,1992.0,2003.0,Phase 4,Completed,Treatment
NCT00000374,1998.0,2007.0,Phase 4,Completed,Treatment
NCT00000376,1996.0,1999.0,Not Applicable,Completed,Treatment
NCT00000377,1989.0,2000.0,Not Applicable,Completed,Treatment
NCT00000378,1997.0,2002.0,Phase 4,Completed,Treatment
NCT00000379,1999.0,2003.0,Phase 3,Completed,Treatment
NCT00000380,1996.0,2007.0,Not Applicable,Completed,Treatment
NCT00000381,1997.0,2003.0,Phase 3,Completed,Treatment
NCT00000384,1997.0,2002.0,Phase 3,Completed,Treatment
NCT00000385,1997.0,2005.0,Phase 3,Completed,Treatment
NCT00000388,1998.0,1999.0,Phase 4,Completed,Treatment
NCT00000389,1996.0,1999.0,Phase 3,Completed,Treatment
NCT00000390,,,Phase 2,Completed,Treatment
NCT00000392,1990.0,1996.0,Phase 2,Completed,Treatment
NCT00000393,1988.0,,Phase 1,Completed,Treatment
NCT00000428,2000.0,2004.0,Phase 4,Completed,Treatment
NCT00000439,2000.0,2003.0,Phase 2,Completed,Treatment
NCT00000446,,2000.0,Phase 2,Completed,Treatment
NCT00000448,1995.0,2000.0,Phase 4,Completed,Treatment
NCT00000458,,2002.0,Phase 2,Completed,Treatment
NCT00000469,1988.0,1998.0,Phase 2,Completed,Prevention
NCT00000479,1992.0,2005.0,Phase 3,Completed,Prevention
NCT00000514,1984.0,1996.0,Phase 3,Completed,Prevention
NCT00000517,1985.0,1991.0,Phase 3,Completed,Prevention
NCT00000527,1986.0,1998.0,Phase 2,Completed,Prevention
NCT00000599,1980.0,1994.0,Phase 3,Completed,Treatment
NCT00000600,1995.0,2000.0,Phase 2,Terminated,Prevention
NCT00000613,1997.0,2004.0,Phase 2,Completed,Prevention
NCT00000639,,1997.0,Not Applicable,Completed,Treatment
NCT00000643,,1994.0,Phase 2,Completed,Prevention
NCT00000648,,1996.0,Not Applicable,Completed,Treatment
NCT00000657,,1992.0,Phase 2,Completed,Treatment
NCT00000666,,1992.0,Not Applicable,Completed,Prevention
NCT00000674,,1992.0,Not Applicable,Completed,Treatment
NCT00000677,,,Phase 1,Completed,Treatment
NCT00000702,,1990.0,Phase 3,Completed,Treatment
NCT00000708,,,Not Applicable,Completed,Treatment
NCT00000709,,1990.0,Phase 3,Completed,Treatment
NCT00000738,,1994.0,Phase 1,Completed,Treatment
NCT00000776,,1996.0,Phase 2,Completed,Treatment
NCT00000793,,1997.0,Phase 2,Completed,Treatment
NCT00000794,,1998.0,Phase 2,Completed,Treatment
NCT00000817,1994.0,1997.0,Not Applicable,Completed,Treatment
NCT00000842,,1999.0,Phase 2,Completed,Treatment
NCT00000867,1996.0,2001.0,Phase 2,Completed,Treatment
NCT00000945,,2001.0,Not Applicable,Completed,Treatment
NCT00000966,,,Phase 1,Completed,Treatment
NCT00000973,,1995.0,Phase 1,Completed,Treatment
NCT00001017,,,Phase 3,Completed,Treatment
NCT00001048,,1997.0,Phase 2,Completed,Treatment
NCT00001146,1999.0,2002.0,Phase 2,Completed,Treatment
NCT00001234,1988.0,2002.0,Phase 1,Completed,Treatment
NCT00001251,1989.0,2003.0,Phase 1,Completed,Treatment
NCT00001261,1990.0,2002.0,Phase 2,Completed,Treatment
NCT00001262,1990.0,2013.0,Phase 1/Phase 2,Completed,Treatment
NCT00001287,1990.0,2001.0,Phase 2,Completed,Treatment
NCT00001328,1992.0,2010.0,Phase 1,Completed,Treatment
NCT00001333,1993.0,2000.0,Phase 1,Completed,Treatment
NCT00001344,1993.0,2001.0,Phase 2,Completed,Treatment
NCT00001365,1993.0,2001.0,Phase 2,Completed,Treatment
NCT00001410,1993.0,2001.0,Phase 1,Completed,Treatment
NCT00001416,1993.0,2000.0,Phase 2,Completed,Treatment
NCT00001421,1995.0,2001.0,Phase 2,Completed,Treatment
NCT00001482,1995.0,2001.0,Phase 2,Completed,Treatment
NCT00001483,1995.0,2002.0,Phase 2,Completed,Treatment
NCT00001487,1995.0,2004.0,Phase 2,Completed,Treatment
NCT00001502,1996.0,2000.0,Phase 1,Completed,Treatment
NCT00001520,1996.0,2000.0,Phase 4,Completed,Treatment
NCT00001550,1996.0,2002.0,Phase 1,Completed,Treatment
NCT00001565,1996.0,2000.0,Phase 1,Completed,Treatment
NCT00001656,1997.0,2008.0,Phase 4,Completed,Treatment
NCT00001658,1997.0,2001.0,Phase 4,Completed,Treatment
NCT00001662,1996.0,2005.0,Phase 2,Completed,Treatment
NCT00001669,1997.0,2000.0,Phase 2,Completed,Treatment
NCT00001723,1998.0,2011.0,Phase 2,Completed,Treatment
NCT00001725,1997.0,2002.0,Phase 2,Completed,Treatment
NCT00001768,1997.0,2000.0,Phase 3,Completed,Treatment
NCT00001777,1997.0,2000.0,Phase 1,Completed,Treatment
NCT00001781,1998.0,2002.0,Phase 2,Completed,Treatment
NCT00001783,1998.0,2004.0,Phase 2,Completed,Treatment
NCT00001784,1998.0,2002.0,Phase 2,Completed,Treatment
NCT00001785,1998.0,2004.0,Phase 2,Completed,Treatment
NCT00001860,1999.0,2002.0,Phase 2,Completed,Treatment
NCT00001864,1999.0,2001.0,Phase 3,Completed,Treatment
NCT00001925,1999.0,2002.0,Phase 2,Completed,Treatment
NCT00001929,1999.0,2001.0,Phase 2,Completed,Treatment
NCT00001930,1999.0,2001.0,Phase 2,Completed,Treatment
NCT00001931,1999.0,2001.0,Phase 2,Completed,Treatment
NCT00001933,1999.0,2002.0,Phase 2,Completed,Treatment
NCT00001934,1999.0,2008.0,Phase 2,Completed,Treatment
NCT00001956,2000.0,2005.0,Phase 2,Completed,Treatment
NCT00001986,2000.0,2001.0,Phase 1,Completed,Treatment
NCT00001994,,,Not Applicable,Completed,Treatment
NCT00002010,,,Not Applicable,Completed,Treatment
NCT00002019,,,Not Applicable,Completed,Treatment
NCT00002040,,,Not Applicable,Completed,Treatment
NCT00002044,,,Not Applicable,Completed,Treatment
NCT00002064,,,Not Applicable,Completed,Treatment
NCT00002068,,,Not Applicable,Completed,Treatment
NCT00002074,,,Not Applicable,Completed,Treatment
NCT00002075,,,Not Applicable,Completed,Treatment
NCT00002076,,,Not Applicable,Completed,Treatment
NCT00002077,,,Not Applicable,Completed,Treatment
NCT00002083,,,Not Applicable,Completed,Treatment
NCT00002113,,,Not Applicable,Completed,Treatment
NCT00002163,,,Phase 3,Completed,Treatment
NCT00002209,,,Phase 1,Completed,Treatment
NCT00002246,1997.0,1999.0,Phase 3,Completed,Treatment
NCT00002270,,,Not Applicable,Completed,Treatment
NCT00002274,,,Not Applicable,Completed,Treatment
NCT00002294,,,Not Applicable,Completed,Treatment
NCT00002305,,,Not Applicable,Completed,Treatment
NCT00002306,,,Not Applicable,Completed,Treatment
NCT00002316,,,Phase 1,Completed,Treatment
NCT00002395,,,Phase 2,Completed,Treatment
NCT00002520,1990.0,,Not Applicable,Completed,Other
NCT00002594,1994.0,2007.0,Phase 2,Completed,Treatment
NCT00002875,1996.0,2011.0,Phase 3,Completed,Treatment
NCT00002944,1997.0,2012.0,Phase 3,Completed,Treatment
NCT00003141,1998.0,2011.0,Phase 1,Completed,Treatment
NCT00003203,1998.0,2012.0,Phase 2,Completed,Treatment
NCT00003483,1998.0,2004.0,Phase 2,Terminated,Treatment
NCT00003514,,,Phase 2,Withdrawn,Treatment
NCT00003573,1998.0,2008.0,Phase 2,Completed,Treatment
NCT00003625,1998.0,2006.0,Phase 1,Completed,Treatment
NCT00003935,1999.0,2007.0,Phase 1,Completed,Treatment
NCT00004268,2001.0,,Phase 2,Completed,Treatment
NCT00004286,1996.0,1999.0,Phase 3,Completed,Treatment
NCT00004293,1999.0,,Phase 2,Unknown status,Treatment
NCT00004294,1999.0,,Phase 1,Completed,Treatment
NCT00004297,1995.0,1999.0,Phase 3,Completed,Treatment
NCT00004300,,,Phase 2,Suspended,Treatment
NCT00004310,1999.0,,Phase 2,Unknown status,Treatment
NCT00004314,1996.0,,Phase 2,Completed,Treatment
NCT00004338,1993.0,,Phase 4,Completed,Treatment
NCT00004339,1994.0,,Phase 3,Completed,Treatment
NCT00004357,1997.0,2008.0,Phase 2,Completed,Treatment
NCT00004373,1997.0,2001.0,Phase 2,Completed,Treatment
NCT00004376,1994.0,2000.0,Phase 3,Completed,Treatment
NCT00004386,1995.0,,Phase 1,Terminated,Treatment
NCT00004393,1997.0,2000.0,Phase 2,Completed,Treatment
NCT00004401,1998.0,1998.0,Not Applicable,Completed,Treatment
NCT00004403,2000.0,2002.0,Not Applicable,Completed,Treatment
NCT00004407,1998.0,2000.0,Not Applicable,Terminated,Treatment
NCT00004418,1998.0,2014.0,Phase 2,Terminated,Treatment
NCT00004431,1998.0,1999.0,Not Applicable,Completed,Treatment
NCT00004433,1994.0,2002.0,Not Applicable,Completed,Treatment
NCT00004442,,1999.0,Not Applicable,Terminated,Treatment
NCT00004446,1998.0,,Not Applicable,Completed,Treatment
NCT00004450,1998.0,2000.0,Not Applicable,Completed,Treatment
NCT00004451,1998.0,,Not Applicable,Completed,Treatment
NCT00004454,1996.0,,Phase 1/Phase 2,Completed,Treatment
NCT00004478,1999.0,2006.0,Not Applicable,Completed,Treatment
NCT00004479,1999.0,,Not Applicable,Completed,Treatment
NCT00004480,1999.0,,Not Applicable,Completed,Treatment
NCT00004488,1998.0,2002.0,Phase 2,Completed,Treatment
NCT00004498,1998.0,2000.0,Phase 1,Terminated,Treatment
NCT00004554,2000.0,2006.0,Phase 4,Completed,Treatment
NCT00004576,2000.0,2000.0,Phase 2,Completed,Treatment
NCT00004637,,,Phase 4,Completed,Treatment
NCT00004646,1995.0,,Phase 3,Completed,Treatment
NCT00004647,1993.0,1999.0,Phase 3,Completed,Treatment
NCT00004652,1993.0,,Phase 2,Completed,Treatment
NCT00004682,1995.0,1999.0,Not Applicable,Terminated,Treatment
NCT00004685,1998.0,2000.0,Not Applicable,Completed,Treatment
NCT00004686,1994.0,1999.0,Phase 2,Completed,Treatment
NCT00004727,,,Phase 4,Completed,Prevention
NCT00004728,,2003.0,Phase 3,Terminated,Prevention
NCT00004730,1998.0,2005.0,Phase 3,Completed,Treatment
NCT00004731,1998.0,2003.0,Phase 2,Completed,Treatment
NCT00004733,1998.0,2004.0,Phase 3,Completed,Treatment
NCT00004734,1996.0,2004.0,Phase 3,Completed,Prevention
NCT00004744,1993.0,,Phase 3,Completed,Treatment
NCT00004758,1993.0,,Phase 2,Completed,Treatment
NCT00004759,1991.0,,Phase 3,Completed,Treatment
NCT00004770,1995.0,,Not Applicable,Completed,Treatment
NCT00004771,1992.0,,Phase 2,Completed,Treatment
NCT00004772,1992.0,,Phase 3,Completed,Treatment
NCT00004776,1993.0,,Phase 3,Completed,Treatment
NCT00004796,1994.0,1997.0,Phase 2,Completed,Treatment
NCT00004802,1992.0,,Phase 3,Completed,Treatment
NCT00004807,1995.0,,Not Applicable,Completed,Treatment
NCT00004814,1991.0,,Phase 3,Completed,Treatment
NCT00004816,1995.0,,Phase 1,Completed,Treatment
NCT00004817,1991.0,,Phase 3,Completed,Treatment
NCT00004826,1993.0,1997.0,Not Applicable,Completed,Treatment
NCT00004833,1995.0,2002.0,Not Applicable,Terminated,Treatment
NCT00004834,1998.0,2005.0,Not Applicable,Completed,Treatment
NCT00004845,,2001.0,Phase 2/Phase 3,Completed,Treatment
NCT00004939,1996.0,1996.0,Phase 3,Completed,Treatment
NCT00005015,,2000.0,Phase 3,Terminated,Treatment
NCT00005571,2000.0,2001.0,Phase 2,Completed,Treatment
NCT00005574,2000.0,2001.0,Phase 1,Completed,Treatment
NCT00005658,2000.0,2002.0,Phase 2,Completed,Treatment
NCT00005674,,,Phase 2,Completed,Treatment
NCT00005766,,,Phase 2,Completed,Treatment
NCT00005812,2000.0,2004.0,Phase 2,Terminated,Treatment
NCT00005850,2001.0,2003.0,Phase 2,Completed,Treatment
NCT00005903,2000.0,2005.0,Phase 2,Completed,Treatment
NCT00005925,2000.0,2014.0,Phase 1,Terminated,Treatment
NCT00006024,2000.0,2006.0,Phase 1,Completed,Treatment
NCT00006055,2000.0,,Not Applicable,Unknown status,Treatment
NCT00006072,,,Phase 2,Unknown status,Treatment
NCT00006077,2000.0,2003.0,Phase 2,Completed,Treatment
NCT00006170,2000.0,2010.0,Phase 4,Completed,Treatment
NCT00006180,2000.0,2007.0,Phase 4,Completed,Treatment
NCT00006187,,2005.0,Phase 3,Terminated,Treatment
NCT00006195,,,Not Applicable,Unknown status,Treatment
NCT00006204,2000.0,2006.0,Phase 4,Completed,Treatment
NCT00006286,1998.0,2004.0,Phase 3,Completed,Treatment
NCT00006289,2000.0,2012.0,Phase 2,Terminated,Treatment
NCT00006337,2000.0,2002.0,Phase 2,Completed,Treatment
NCT00006349,2001.0,2007.0,Phase 3,Completed,Supportive Care
NCT00006399,1999.0,2004.0,Phase 2,Completed,Treatment
NCT00006428,1996.0,2007.0,Phase 4,Completed,Treatment
NCT00006448,1996.0,,Not Applicable,Completed,Treatment
NCT00006450,2000.0,2002.0,Phase 2,Completed,Treatment
NCT00006488,,,Phase 1,Completed,Treatment
NCT00006489,2000.0,2011.0,Phase 4,Completed,Treatment
NCT00007020,1992.0,2009.0,Phase 3,Completed,Treatment
NCT00007189,2001.0,,Phase 3,Completed,Prevention
NCT00007501,1998.0,2011.0,Phase 3,Completed,Prevention
NCT00007605,1998.0,2003.0,Phase 3,Completed,Treatment
NCT00007670,1998.0,2003.0,Phase 3,Completed,
NCT00007774,1998.0,,Phase 4,Completed,
NCT00009048,2001.0,2003.0,Phase 2,Completed,Treatment
NCT00009178,1998.0,2001.0,Not Applicable,Completed,Treatment
NCT00009191,2005.0,2007.0,Phase 4,Completed,Treatment
NCT00009204,1995.0,2002.0,Phase 3,Completed,Treatment
NCT00009217,1999.0,2004.0,Phase 4,Completed,Treatment
NCT00009230,2000.0,2005.0,Phase 3,Completed,Treatment
NCT00009620,1993.0,1997.0,Phase 3,Completed,Prevention
NCT00009672,2001.0,2006.0,Phase 2,Completed,Treatment
NCT00010335,2000.0,2011.0,Phase 1,Completed,Treatment
NCT00010803,2000.0,2011.0,Phase 3,Completed,Prevention
NCT00010842,1999.0,2004.0,Phase 1/Phase 2,Completed,Treatment
NCT00010868,2000.0,2004.0,Phase 2,Completed,Treatment
NCT00010881,1999.0,2004.0,Not Applicable,Completed,Treatment
NCT00010920,1999.0,2004.0,Phase 3,Completed,Prevention
NCT00011375,2001.0,2004.0,Phase 2,Completed,Treatment
NCT00011804,2001.0,2005.0,Phase 2,Completed,Treatment
NCT00012454,2001.0,2004.0,Phase 2,Terminated,Treatment
NCT00012467,2000.0,2001.0,Phase 2,Completed,Treatment
NCT00012558,1998.0,2005.0,Not Applicable,Completed,Treatment
NCT00012584,2000.0,2002.0,Not Applicable,Completed,Treatment
NCT00013182,,2001.0,Not Applicable,Completed,Treatment
NCT00013585,,2005.0,Phase 2,Completed,Treatment
NCT00013624,2001.0,2005.0,Phase 2,Completed,Treatment
NCT00013650,2001.0,2008.0,Phase 1,Completed,Treatment
NCT00013923,,2005.0,Phase 2,Completed,Treatment
NCT00014001,2000.0,2004.0,Phase 4,Completed,Treatment
NCT00014755,1997.0,,Phase 1,Completed,Treatment
NCT00014989,1997.0,2007.0,Phase 3,Completed,Prevention
NCT00015028,1996.0,1997.0,Phase 2,Completed,Treatment
NCT00015041,1996.0,1998.0,Phase 1,Completed,Treatment
NCT00015054,1998.0,1999.0,Phase 2,Completed,Treatment
NCT00015067,1997.0,,Phase 1,Completed,Treatment
NCT00015080,1995.0,1996.0,Phase 2,Completed,Treatment
NCT00015106,1997.0,1999.0,Phase 2,Completed,Treatment
NCT00015132,1999.0,2000.0,Phase 2,Completed,Treatment
NCT00015171,1996.0,1997.0,Phase 3,Completed,Treatment
NCT00015210,1997.0,,Phase 2,Completed,Treatment
NCT00015223,1997.0,1999.0,Phase 2,Completed,Treatment
NCT00015249,1997.0,1998.0,Phase 1,Completed,Diagnostic
NCT00015301,2003.0,2005.0,Phase 4,Completed,Diagnostic
NCT00015340,1999.0,2001.0,Phase 4,Completed,Treatment
NCT00015548,2001.0,2004.0,Not Applicable,Completed,Treatment
NCT00015769,2001.0,2003.0,Phase 2,Completed,Treatment
NCT00015808,2001.0,2006.0,Phase 1,Completed,Treatment
NCT00016653,2000.0,2006.0,Phase 2/Phase 3,Completed,Treatment
NCT00016679,2001.0,2004.0,Phase 1,Completed,Treatment
NCT00017628,2001.0,,Phase 1,Completed,Treatment
NCT00017940,,2003.0,Phase 1,Completed,Treatment
NCT00018057,2001.0,2029.0,Phase 2,Recruiting,Treatment
NCT00018109,,,Phase 3,Completed,Treatment
NCT00018174,1998.0,2005.0,Phase 3,Completed,Treatment
NCT00018200,1999.0,2004.0,Phase 2,Completed,Treatment
NCT00018278,1998.0,2001.0,Phase 4,Completed,Treatment
NCT00018291,2001.0,2005.0,Not Applicable,Completed,Treatment
NCT00018343,1998.0,2001.0,Phase 2,Completed,Treatment
NCT00018356,1999.0,2006.0,Phase 4,Completed,
NCT00018382,1999.0,2003.0,Phase 2,Completed,Treatment
NCT00018564,2000.0,2003.0,Phase 3,Completed,Treatment
NCT00018603,1999.0,2002.0,Phase 1,Completed,Treatment
NCT00018642,1997.0,2002.0,Not Applicable,Completed,Treatment
NCT00018668,2000.0,2004.0,Phase 4,Completed,Treatment
NCT00018733,1996.0,2001.0,Not Applicable,Completed,Treatment
NCT00018759,2001.0,2003.0,Phase 4,Completed,Treatment
NCT00018824,1999.0,2005.0,Phase 4,Completed,Treatment
NCT00018850,1998.0,2003.0,Not Applicable,Completed,Treatment
NCT00018902,2001.0,2007.0,Phase 2/Phase 3,Completed,Treatment
NCT00019630,1999.0,,Phase 1,Completed,Treatment
NCT00021528,2001.0,2006.0,Phase 4,Completed,Treatment
NCT00021541,2001.0,2009.0,Phase 2,Completed,Prevention
NCT00021697,2001.0,2002.0,Phase 3,Completed,Treatment
NCT00021723,2001.0,2003.0,Phase 2,Terminated,Treatment
NCT00022074,2001.0,2005.0,Not Applicable,Completed,Supportive Care
NCT00023283,2000.0,2004.0,Phase 2,Completed,Treatment
NCT00023634,2001.0,2008.0,Phase 1,Terminated,Treatment
NCT00024531,2000.0,2004.0,Phase 2,Completed,Treatment
NCT00025740,2001.0,2004.0,Phase 4,Completed,Treatment
NCT00025779,2001.0,,Not Applicable,Completed,Treatment
NCT00025792,2001.0,2005.0,Phase 2,Completed,Treatment
NCT00025896,2001.0,2002.0,Phase 2,Completed,Treatment
NCT00026039,1993.0,,Phase 3,Completed,
NCT00026052,2001.0,2003.0,Phase 2,Completed,Treatment
NCT00026585,2001.0,2007.0,Phase 2,Completed,Treatment
NCT00026637,2001.0,2008.0,Phase 3,Completed,Treatment
NCT00026988,2001.0,2006.0,Phase 1/Phase 2,Completed,Treatment
NCT00027066,1993.0,2001.0,Phase 3,Completed,Prevention
NCT00027209,,,Phase 2,Completed,Treatment
NCT00027300,2001.0,2005.0,Phase 3,Completed,Treatment
NCT00027378,2001.0,2008.0,Phase 2,Completed,Treatment
NCT00027391,2001.0,2004.0,Not Applicable,Completed,Treatment
NCT00027430,2001.0,2004.0,Not Applicable,Completed,Treatment
NCT00027846,2003.0,2016.0,Phase 2,Completed,Treatment
NCT00029146,2002.0,2010.0,Phase 3,Terminated,Treatment
NCT00029315,2001.0,2004.0,Phase 2,Completed,Treatment
NCT00029458,2002.0,2005.0,Phase 2,Completed,Treatment
NCT00029497,,2004.0,Phase 2,Completed,Treatment
NCT00029523,2001.0,2004.0,Phase 4,Completed,Treatment
NCT00029536,2000.0,2010.0,Phase 3,Completed,Treatment
NCT00029614,2006.0,2007.0,Phase 2,Completed,Treatment
NCT00029874,2001.0,2003.0,Phase 1/Phase 2,Completed,Treatment
