nct_id,start_year,agency_class,lead_or_collaborator,sponsor_name,phase
NCT00000269,1995.0,OTHER,collaborator,New York State Psychiatric Institute,Phase 2
NCT00000270,1995.0,OTHER,lead,New York State Psychiatric Institute,Phase 4
NCT00000270,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 4
NCT00000271,1995.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000271,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000273,1995.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000273,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000274,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000274,1997.0,OTHER,collaborator,New York State Psychiatric Institute,Phase 2
NCT00000275,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000275,1996.0,OTHER,collaborator,New York State Psychiatric Institute,Phase 2
NCT00000276,1994.0,OTHER,lead,Yale University,Phase 1
NCT00000276,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000276,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 1
NCT00000277,1994.0,OTHER,lead,Yale University,Phase 2
NCT00000277,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000277,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 2
NCT00000278,1994.0,OTHER,lead,Yale University,Phase 2
NCT00000278,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000278,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 2
NCT00000279,1994.0,OTHER,lead,Yale University,Phase 2
NCT00000279,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000279,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 2
NCT00000280,1994.0,OTHER,lead,Yale University,Phase 1
NCT00000280,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000280,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 1
NCT00000282,1994.0,OTHER,lead,Yale University,Phase 2
NCT00000282,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000282,1994.0,FED,collaborator,VA Connecticut Healthcare System,Phase 2
NCT00000284,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000284,1995.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000285,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000285,1996.0,OTHER,collaborator,University of Minnesota,Phase 1
NCT00000286,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000286,1996.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000288,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000288,1995.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000289,1998.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000289,1998.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000290,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000290,1997.0,OTHER,collaborator,University of Minnesota,Phase 1
NCT00000291,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000291,1997.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000292,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000292,1996.0,OTHER,collaborator,University of Minnesota,Phase 1
NCT00000293,1999.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 3
NCT00000293,1999.0,OTHER,collaborator,University of Minnesota,Phase 3
NCT00000294,1998.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000294,1998.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000295,1999.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000295,1999.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000296,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000296,1997.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000297,1998.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000297,1998.0,OTHER,collaborator,University of Minnesota,Phase 2
NCT00000301,1996.0,OTHER,lead,"University of California, Los Angeles",Phase 2
NCT00000301,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000303,1997.0,OTHER,lead,"University of California, Los Angeles",Phase 2
NCT00000303,1997.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000304,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000304,1997.0,OTHER,collaborator,University of Texas,Phase 2
NCT00000305,,OTHER,lead,"The University of Texas Health Science Center, Houston",Phase 1
NCT00000305,,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000305,,OTHER,collaborator,University of Texas,Phase 1
NCT00000306,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000306,1994.0,OTHER,collaborator,University of Texas,Phase 2
NCT00000307,2003.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000307,2003.0,OTHER,collaborator,University of Texas,Phase 2
NCT00000308,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000308,1995.0,OTHER,collaborator,University of Texas,Phase 2
NCT00000309,1994.0,OTHER,lead,Butler Hospital,Phase 2
NCT00000309,1994.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000309,1994.0,FED,collaborator,VA Boston Healthcare System,Phase 2
NCT00000310,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000310,1996.0,FED,collaborator,VA Boston Healthcare System,Phase 2
NCT00000311,1995.0,OTHER,lead,Yale University,Phase 3
NCT00000311,1995.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 3
NCT00000312,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000312,,FED,collaborator,US Department of Veterans Affairs,Phase 1
NCT00000313,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000313,,FED,collaborator,VA Office of Research and Development,Phase 1
NCT00000314,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000314,1994.0,FED,collaborator,VA Office of Research and Development,Phase 2
NCT00000315,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000315,1996.0,OTHER,collaborator,Johns Hopkins University,Phase 1
NCT00000316,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000316,1996.0,OTHER,collaborator,Johns Hopkins University,Phase 1
NCT00000317,1996.0,OTHER,lead,New York State Psychiatric Institute,Phase 2
NCT00000317,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000317,1996.0,OTHER,collaborator,"Research Foundation for Mental Hygiene, Inc.",Phase 2
NCT00000318,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000318,1994.0,OTHER,collaborator,Yale University,Phase 2
NCT00000319,1996.0,OTHER,lead,Yale University,Phase 2
NCT00000319,1996.0,NIH,collaborator,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000321,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 4
NCT00000321,1996.0,OTHER,collaborator,"Friends Research Institute, Inc.",Phase 4
NCT00000322,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000324,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000324,1997.0,OTHER,collaborator,Johns Hopkins University,Phase 2
NCT00000332,1998.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000332,1998.0,FED,collaborator,Washington D.C. Veterans Affairs Medical Center,Phase 2
NCT00000333,2001.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000333,2001.0,FED,collaborator,Washington D.C. Veterans Affairs Medical Center,Phase 2
NCT00000336,1995.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000337,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000338,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000339,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000340,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000342,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000346,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 4
NCT00000347,1997.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000348,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000349,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000352,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000352,1996.0,OTHER,collaborator,University of Pennsylvania,Phase 2
NCT00000353,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000353,1996.0,OTHER,collaborator,University of Pennsylvania,Phase 2
NCT00000354,1996.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000354,1996.0,OTHER,collaborator,University of Pennsylvania,Phase 1
NCT00000355,1994.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000355,1994.0,OTHER,collaborator,University of Pennsylvania,Phase 1
NCT00000356,1991.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000356,1991.0,OTHER,collaborator,University of Pennsylvania,Phase 2
NCT00000357,1992.0,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 2
NCT00000357,1992.0,OTHER,collaborator,University of Pennsylvania,Phase 2
NCT00000358,,NIH,lead,National Institute on Drug Abuse (NIDA),Phase 1
NCT00000358,,OTHER,collaborator,University of Pennsylvania,Phase 1
NCT00000361,1998.0,NIH,lead,National Institute on Deafness and Other Communication Disorders (NIDCD),Phase 3
NCT00000367,1998.0,OTHER,lead,Weill Medical College of Cornell University,Not Applicable
NCT00000367,1998.0,NIH,collaborator,National Institute of Mental Health (NIMH),Not Applicable
NCT00000368,1999.0,OTHER,lead,New York State Psychiatric Institute,Phase 3
NCT00000368,1999.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 3
NCT00000369,1997.0,OTHER,lead,University of Pittsburgh,Phase 3
NCT00000371,1996.0,OTHER,lead,Massachusetts General Hospital,Phase 3
NCT00000372,1998.0,OTHER,lead,Massachusetts General Hospital,Phase 3
NCT00000373,1992.0,OTHER,lead,University of Florida,Phase 4
NCT00000373,1992.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 4
NCT00000374,1998.0,OTHER,lead,Northwell Health,Phase 4
NCT00000374,1998.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 4
NCT00000374,1998.0,OTHER,collaborator,The Zucker Hillside Hospital,Phase 4
NCT00000376,1996.0,OTHER,lead,University of Pennsylvania,Not Applicable
NCT00000376,1996.0,NIH,collaborator,National Institute of Mental Health (NIMH),Not Applicable
NCT00000377,1989.0,OTHER,lead,University of Pittsburgh,Not Applicable
NCT00000377,1989.0,NIH,collaborator,National Institute of Mental Health (NIMH),Not Applicable
NCT00000378,1997.0,OTHER,lead,New York State Psychiatric Institute,Phase 4
NCT00000378,1997.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 4
NCT00000379,1999.0,OTHER,lead,Boston University,Phase 3
NCT00000379,1999.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 3
NCT00000380,1996.0,OTHER,lead,University of Washington,Not Applicable
NCT00000380,1996.0,NIH,collaborator,National Institute of Mental Health (NIMH),Not Applicable
NCT00000381,1997.0,OTHER,lead,University of Pittsburgh,Phase 3
NCT00000381,1997.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 3
NCT00000384,1997.0,OTHER,lead,University of Pennsylvania,Phase 3
NCT00000384,1997.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 3
NCT00000385,1997.0,OTHER,lead,Drexel University,Phase 3
NCT00000385,1997.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 3
NCT00000388,1998.0,OTHER,lead,NYU Langone Health,Phase 4
NCT00000388,1998.0,NIH,collaborator,National Institute of Mental Health (NIMH),Phase 4
NCT00000389,1996.0,NIH,lead,National Institute of Mental Health (NIMH),Phase 3
NCT00000390,,INDUSTRY,lead,GEIGY Pharmaceuticals,Phase 2
NCT00000392,1990.0,NIH,lead,National Institute of Mental Health (NIMH),Phase 2
NCT00000393,1988.0,NIH,lead,National Institute of Mental Health (NIMH),Phase 1
NCT00000428,2000.0,OTHER,lead,Tufts Medical Center,Phase 4
NCT00000428,2000.0,NIH,collaborator,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),Phase 4
NCT00000439,2000.0,NIH,lead,National Institute on Alcohol Abuse and Alcoholism (NIAAA),Phase 2
NCT00000439,2000.0,OTHER,collaborator,University of Pittsburgh,Phase 2
NCT00000446,,NIH,lead,National Institute on Alcohol Abuse and Alcoholism (NIAAA),Phase 2
NCT00000448,1995.0,OTHER,lead,Yale University,Phase 4
NCT00000448,1995.0,NIH,collaborator,National Institute on Alcohol Abuse and Alcoholism (NIAAA),Phase 4
NCT00000458,,NIH,lead,National Institute on Alcohol Abuse and Alcoholism (NIAAA),Phase 2
NCT00000469,1988.0,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 2
NCT00000479,1992.0,OTHER,lead,Brigham and Women's Hospital,Phase 3
NCT00000479,1992.0,NIH,collaborator,National Cancer Institute (NCI),Phase 3
NCT00000479,1992.0,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 3
NCT00000514,1984.0,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 3
NCT00000514,1984.0,NIH,collaborator,National Institute on Aging (NIA),Phase 3
NCT00000517,1985.0,OTHER,lead,Massachusetts General Hospital,Phase 3
NCT00000517,1985.0,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 3
NCT00000527,1986.0,OTHER,lead,Emory University,Phase 2
NCT00000527,1986.0,NIH,collaborator,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 2
NCT00000599,1980.0,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 3
NCT00000600,1995.0,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 2
NCT00000613,1997.0,NIH,lead,"National Heart, Lung, and Blood Institute (NHLBI)",Phase 2
NCT00000639,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000639,,OTHER,collaborator,Washington University School of Medicine,Not Applicable
NCT00000643,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000648,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000648,,INDUSTRY,collaborator,Hoffmann-La Roche,Not Applicable
NCT00000657,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000657,,INDUSTRY,collaborator,Bristol-Myers Squibb,Phase 2
NCT00000657,,INDUSTRY,collaborator,Glaxo Wellcome,Phase 2
NCT00000666,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000674,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000674,,INDUSTRY,collaborator,Upjohn,Not Applicable
NCT00000674,,INDUSTRY,collaborator,Glaxo Wellcome,Not Applicable
NCT00000677,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 1
NCT00000677,,INDUSTRY,collaborator,Schering-Plough,Phase 1
NCT00000702,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 3
NCT00000708,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000709,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 3
NCT00000738,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 1
NCT00000738,,INDUSTRY,collaborator,Miles,Phase 1
NCT00000738,,INDUSTRY,collaborator,Glaxo Wellcome,Phase 1
NCT00000776,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000793,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000793,,INDUSTRY,collaborator,Boehringer Ingelheim,Phase 2
NCT00000794,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000817,1994.0,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000842,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000867,1996.0,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00000945,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable
NCT00000966,,INDUSTRY,lead,Pfizer,Phase 1
NCT00000966,,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Phase 1
NCT00000973,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 1
NCT00000973,,INDUSTRY,collaborator,Glaxo Wellcome,Phase 1
NCT00001017,,INDUSTRY,lead,Pfizer,Phase 3
NCT00001017,,NIH,collaborator,National Institute of Allergy and Infectious Diseases (NIAID),Phase 3
NCT00001048,,NIH,lead,National Institute of Allergy and Infectious Diseases (NIAID),Phase 2
NCT00001048,,INDUSTRY,collaborator,Bristol-Myers Squibb,Phase 2
NCT00001048,,INDUSTRY,collaborator,Upjohn,Phase 2
NCT00001146,1999.0,NIH,lead,National Institute of Mental Health (NIMH),Phase 2
NCT00001234,1988.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 1
NCT00001251,1989.0,NIH,lead,National Cancer Institute (NCI),Phase 1
NCT00001261,1990.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 2
NCT00001262,1990.0,NIH,lead,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Phase 1/Phase 2
NCT00001287,1990.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 2
NCT00001328,1992.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 1
NCT00001333,1993.0,NIH,lead,National Cancer Institute (NCI),Phase 1
NCT00001344,1993.0,NIH,lead,National Institute of Dental and Craniofacial Research (NIDCR),Phase 2
NCT00001365,1993.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 2
NCT00001410,1993.0,NIH,lead,National Institute of Mental Health (NIMH),Phase 1
NCT00001416,1993.0,NIH,lead,National Institute of Neurological Disorders and Stroke (NINDS),Phase 2
NCT00001421,1995.0,NIH,lead,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),Phase 2
